time,id,pos,in_network
710,10,"[36.26011828792397, 45.07998893505226]",true
711,1,"[51.84763671844412, 43.31847254995852]",true
711,3,"[60.20079208090704, 24.91789302106587]",true
711,4,"[71.78177972125411, 36.12425527507294]",true
711,5,"[67.66476583689474, 53.50084914716726]",true
711,6,"[49.95608089965208, 54.596687369895]",true
711,7,"[43.202875360571625, 52.16092585752621]",true
711,9,"[35.355529742419115, 57.03168991815513]",true
711,10,"[36.16104746424602, 45.08808848057472]",true
712,1,"[51.87918751580947, 43.354079246012546]",true
712,3,"[60.19361205136346, 24.81850647152976]",true
712,4,"[71.86242159385847, 36.06567821731374]",true
712,5,"[67.66739752299988, 53.499109413521516]",true
712,6,"[49.957782620432525, 54.597556386351755]",true
712,7,"[43.2566772758513, 52.24520507181971]",true
712,9,"[35.28370881599835, 57.10112371592142]",true
712,10,"[36.061976640568055, 45.096188026097174]",true
713,1,"[51.910738313174804, 43.38968594206656]",true
713,3,"[60.18643202181988, 24.71911992199366]",true
713,4,"[71.94306346646282, 36.007101159554544]",true
713,5,"[67.67002920910501, 53.49736967987578]",true
713,6,"[49.95948434121297, 54.598425402808516]",true
713,7,"[43.310479191130966, 52.32948428611321]",true
713,9,"[35.211887889577596, 57.17055751368769]",true
713,10,"[35.96290581689011, 45.10428757161963]",true
714,1,"[51.942289110540145, 43.42529263812058]",true
714,3,"[60.1792519922763, 24.61973337245756]",true
714,4,"[72.02370533906716, 35.94852410179536]",true
714,5,"[67.67266089521014, 53.49562994623004]",true
714,6,"[49.961186061993416, 54.59929441926527]",true
714,7,"[43.36428110641063, 52.4137635004067]",true
714,9,"[35.14006696315684, 57.23999131145396]",true
714,10,"[35.86383499321216, 45.112387117142084]",true
715,1,"[51.97383990790549, 43.460899334174606]",true
715,3,"[60.172071962732716, 24.52034682292145]",true
715,4,"[72.02370533906716, 35.94852410179536]",true
715,5,"[67.67529258131528, 53.4938902125843]",true
715,6,"[49.96288778277386, 54.60016343572203]",true
715,7,"[43.41808302169031, 52.49804271470021]",true
715,9,"[35.06824603673607, 57.30942510922024]",true
715,10,"[35.76476416953419, 45.12048666266454]",true
716,1,"[52.005390705270834, 43.49650603022862]",true
716,3,"[60.16489193318914, 24.42096027338535]",true
716,4,"[72.09695511310909, 35.88676143272548]",true
716,5,"[67.67792426742041, 53.492150478938555]",true
716,6,"[49.964589503554315, 54.601032452178785]",true
716,7,"[43.47188493696997, 52.58232192899371]",true
716,9,"[34.99642511031532, 57.37885890698652]",true
716,10,"[35.66569334585624, 45.128586208186995]",true
717,1,"[52.036941502636175, 43.53211272628265]",true
717,3,"[60.157711903645556, 24.321573723849237]",true
717,4,"[72.17020488715102, 35.824998763655586]",true
717,5,"[67.68055595352554, 53.49041074529281]",true
717,6,"[49.96629122433476, 54.601901468635546]",true
717,7,"[43.52568685224964, 52.66660114328721]",true
717,9,"[34.92460418389455, 57.4482927047528]",true
717,10,"[35.56662252217828, 45.13668575370945]",true
718,1,"[52.068492300001516, 43.567719422336666]",true
718,3,"[60.15053187410197, 24.22218717431314]",true
718,4,"[72.24345466119294, 35.76323609458571]",true
718,5,"[67.68318763963066, 53.48867101164707]",true
718,6,"[49.967992945115206, 54.6027704850923]",true
718,7,"[43.579488767529305, 52.750880357580705]",true
718,9,"[34.852783257473796, 57.517726502519075]",true
718,10,"[35.46755169850032, 45.144785299231906]",true
719,1,"[52.10004309736686, 43.60332611839068]",true
719,3,"[60.143351844558396, 24.122800624777042]",true
719,4,"[72.31670443523487, 35.70147342551583]",true
719,5,"[67.68581932573579, 53.486931278001336]",true
719,6,"[49.96969466589565, 54.603639501549054]",true
719,7,"[43.633290682808976, 52.8351595718742]",true
719,9,"[34.78096233105304, 57.58716030028535]",true
719,10,"[35.368480874822374, 45.15288484475436]",true
720,1,"[52.1315938947322, 43.6389328144447]",true
720,3,"[60.13617181501481, 24.02341407524093]",true
720,4,"[72.38995420927681, 35.63971075644594]",true
720,5,"[67.69163130935485, 53.48554076784281]",true
720,6,"[49.9713963866761, 54.604508518005815]",true
720,7,"[43.68709259808865, 52.91943878616771]",true
720,9,"[34.70914140463228, 57.656594098051634]",true
720,10,"[35.26941005114441, 45.160984390276816]",true
721,1,"[52.16314469209754, 43.67453951049872]",true
721,3,"[60.12899178547123, 23.92402752570483]",true
721,4,"[72.46320398331872, 35.57794808737606]",true
721,5,"[67.74884270945748, 53.48979434707742]",true
721,6,"[49.97309810745654, 54.60537753446257]",true
721,7,"[43.74089451336831, 53.003718000461205]",true
721,9,"[34.63732047821152, 57.72602789581791]",true
721,10,"[35.170339227466464, 45.16908393579927]",true
722,1,"[52.19469548946288, 43.71014620655274]",true
722,3,"[60.11883435804952, 23.825470842258174]",true
722,4,"[72.53645375736066, 35.51618541830617]",true
722,5,"[67.80605410956011, 53.494047926312035]",true
722,6,"[49.974799828236996, 54.60624655091933]",true
722,7,"[43.79469642864798, 53.087997214754715]",true
722,9,"[34.56549955179076, 57.79546169358419]",true
722,10,"[35.071268403788494, 45.17718348132173]",true
723,1,"[52.22624628682822, 43.74575290260676]",true
723,3,"[60.10190970432869, 23.7288003332011]",true
723,4,"[72.60970353140259, 35.454422749236294]",true
723,5,"[67.86326550966272, 53.49830150554664]",true
723,6,"[49.97650154901744, 54.607115567376084]",true
723,7,"[43.84849834392765, 53.17227642904821]",true
723,9,"[34.49367862537, 57.86489549135046]",true
723,10,"[34.972197580110546, 45.18528302684418]",true
724,1,"[52.25779708419356, 43.78135959866078]",true
724,3,"[60.08498505060786, 23.63212982414403]",true
724,4,"[72.68295330544451, 35.392660080166415]",true
724,5,"[67.92047690976536, 53.50255508478126]",true
724,6,"[49.97820326979789, 54.607984583832845]",true
724,7,"[43.902300259207315, 53.2565556433417]",true
724,9,"[34.49367862537, 57.86489549135046]",true
724,10,"[34.8731267564326, 45.19338257236664]",true
725,1,"[52.2893478815589, 43.8169662947148]",true
725,3,"[60.06806039688703, 23.535459315086943]",true
725,4,"[72.75620307948644, 35.33089741109652]",true
725,5,"[67.97768830986799, 53.50680866401587]",true
725,6,"[49.97990499057833, 54.6088536002896]",true
