time,id,pos,in_network
810,1,"[41.44841111689102, 36.035257371673865]",true
810,2,"[51.5292750530814, 38.9381569828114]",true
810,3,"[56.941112083037304, 33.449510520542354]",true
810,4,"[68.8358749253163, 38.064699688848194]",true
810,5,"[51.940931757818994, 60.783274718625535]",true
810,6,"[58.8300233839334, 66.48824607352694]",true
810,7,"[42.94648319942938, 54.21703459271877]",true
810,8,"[35.87925549339687, 55.665265004610205]",true
810,9,"[28.62612105177524, 44.75992453632281]",true
810,10,"[36.43780815071433, 45.814912950888235]",true
811,1,"[41.3550767403136, 36.022709234915226]",true
811,2,"[51.44838440700578, 38.880533305371586]",true
811,3,"[56.95133720630947, 33.35764755921814]",true
811,4,"[68.9220508604334, 38.02301734725719]",true
811,5,"[51.89852485002192, 60.84488903686427]",true
811,6,"[58.92888815779992, 66.49935778585744]",true
811,7,"[43.01969304371623, 54.28336619024407]",true
811,8,"[35.88537564759001, 55.76288569526788]",true
811,9,"[28.613543809464936, 44.858929799198044]",true
811,10,"[36.42420801935698, 45.81853134736986]",true
812,1,"[41.265036922447365, 36.02259710305556]",true
812,2,"[51.36749376093016, 38.822909627931764]",true
812,3,"[56.96156232958164, 33.265784597893905]",true
812,4,"[68.9837117738508, 37.95991530023838]",true
812,5,"[51.85611794222484, 60.906503355103006]",true
812,6,"[59.02775293166645, 66.51046949818796]",true
812,7,"[43.09456620665538, 54.34828933869945]",true
812,8,"[35.891495801783144, 55.86050638592558]",true
812,9,"[28.60096656715463, 44.95793506207329]",true
812,10,"[36.41060788799963, 45.82214974385149]",true
813,1,"[41.176202258805816, 36.027034079333234]",true
813,2,"[51.28660311485454, 38.76528595049194]",true
813,3,"[56.9717874528538, 33.17392163656969]",true
813,4,"[69.00754548729016, 37.86376219209419]",true
813,5,"[51.81371103442777, 60.96811767334174]",true
813,6,"[59.126617705532965, 66.52158121051846]",true
813,7,"[43.17087413744663, 54.411997568146944]",true
813,8,"[35.89761595597628, 55.95812707658326]",true
813,9,"[28.58838932484432, 45.05694032494852]",true
813,10,"[36.39700775664228, 45.82576814033312]",true
814,1,"[41.08736759516425, 36.031471055610915]",true
814,2,"[51.20571246877892, 38.70766227305212]",true
814,3,"[56.982012576125975, 33.082058675245456]",true
814,4,"[69.03137920072952, 37.767609083949985]",true
814,5,"[51.771304126630696, 61.029731991580476]",true
814,6,"[59.225482479399496, 66.53269292284897]",true
814,7,"[43.24718206823789, 54.47570579759444]",true
814,8,"[35.90373611016941, 56.05574776724095]",true
814,9,"[28.575812082534014, 45.155945587823766]",true
814,10,"[36.38340762528493, 45.829386536814745]",true
815,1,"[40.99853293152271, 36.035908031888596]",true
815,2,"[51.12482182270331, 38.65003859561231]",true
815,3,"[56.99223769939814, 32.99019571392124]",true
815,4,"[69.05521291416886, 37.6714559758058]",true
